기준년도,학교종류명,설립구분명,학교명,단과대학명,학과명(전공),구분명,학과특성명,졸업자수,국내+해외 취업자수,진학자수,기타인원수1(입대자수+외국인유학생+건강보험직장가입제외대상자수),기타인원수2,취업률(%)[ J / [I - (K+L)] ] *100(%)
2017,대학교,사립,아주대학교 ,인문대학,문화콘텐츠학과,주간,일반과정,32,21,0,1,10,67.7
2017,대학교,사립,아주대학교 ,인문대학,불어불문학과,주간,일반과정,13,6,1,0,6,50
2017,대학교,사립,아주대학교 ,인문대학,사학과,주간,일반과정,21,10,2,0,9,52.6
2017,대학교,사립,아주대학교 ,인문대학,영어영문학과,주간,일반과정,75,34,10,0,29,52.3
2017,대학교,사립,아주대학교 ,자연과학대학,물리학과,주간,일반과정,20,8,8,0,4,66.7
2017,대학교,사립,아주대학교 ,자연과학대학,생명과학과,주간,일반과정,40,8,14,0,18,30.8
2017,대학교,사립,아주대학교 ,자연과학대학,수학과,주간,일반과정,40,18,8,0,13,56.3
2017,대학교,사립,아주대학교 ,자연과학대학,화학과,주간,일반과정,54,19,17,0,18,51.4
2017,대학교,사립,아주대학교 ,정보통신대학,미디어학과,주간,일반과정,130,94,15,0,21,81.7
2017,대학교,사립,아주대학교 ,정보통신대학,사이버보안학과,주간,일반과정,7,6,0,0,1,85.7
2017,대학교,사립,아주대학교 ,정보통신대학,소프트웨어학과,주간,일반과정,142,93,20,0,29,76.2
2017,대학교,사립,아주대학교 ,간호대학,간호학과(특별과정),야간,특별과정,76,64,0,0,12,84.2
2016,대학교,사립,아주대학교 _본교,간호대학,간호학과,주간,일반과정,65,56,0,0,0,86.2
2016,대학교,사립,아주대학교 _본교,간호대학,간호학과(특별과정),야간,특별과정,84,66,0,0,0,78.6
2016,대학교,사립,아주대학교 _본교,약학대학,약학과,주간,일반과정,31,20,0,0,0,64.5
2016,대학교,사립,아주대학교 _본교,자연과학대학,물리학과,주간,일반과정,22,4,0,0,0,18.2
2016,대학교,사립,아주대학교 _본교,자연과학대학,생명과학과,주간,일반과정,40,6,0,0,0,15
2016,대학교,사립,아주대학교 _본교,자연과학대학,수학과,주간,일반과정,43,11,0,0,0,25.6
2016,대학교,사립,아주대학교 _본교,자연과학대학,화학과,주간,일반과정,48,16,0,0,0,33.3
2016,대학교,사립,아주대학교 _본교,경영대학,e-비즈니스학과,주간,일반과정,61,41,0,0,0,67.2
2016,대학교,사립,아주대학교 _본교,경영대학,경영학과,주간,일반과정,279,149,0,0,0,53.4
2016,대학교,사립,아주대학교 _본교,경영대학,금융공학과,주간,일반과정,28,9,0,0,0,32.1
2016,대학교,사립,아주대학교 _본교,법과대학,법학과,주간,일반과정,47,16,0,0,0,34
2016,대학교,사립,아주대학교 _본교,사회과학대학,경제학과,주간,일반과정,117,66,0,0,0,56.4
